>AGTRAP_ENST00000314340.10,chr1:11736136-11750769
>IL6R_ENST00000368485.8,chr1:154405343-154469450
1,154405343,154405714
2,154429196,154429444
3,154430483,154430606
4,154434519,154434700
5,154434990,154435156
6,154435969,154436110
7,154448125,154448171
8,154449911,154449980
9,154454488,154454581
10,154465134,154469450
>LMNA_ENST00000368300.9,chr1:156114711-156140081
1,156114711,156115274
2,156130617,156130773
3,156134403,156134528
4,156134805,156134975
5,156135187,156135312
6,156135901,156136121
7,156136214,156136436
8,156136921,156137028
9,156137113,156137232
10,156137654,156137743
11,156138488,156138757
12,156139080,156140081
>PRCC_ENST00000271526.9,chr1:156767535-156800815
1,156767535,156768239
2,156782282,156782329
3,156786608,156787174
4,156791697,156791792
5,156794665,156794808
6,156797276,156797341
7,156800374,156800815
>NTRK1_ENST00000524377.7,chr1:156860865-156881850
1,156860865,156861146
2,156864354,156864428
3,156864728,156864799
4,156866910,156866978
5,156868104,156868249
6,156868505,156868647
7,156871623,156871755
8,156873633,156873959
9,156874383,156874400
10,156874571,156874626
11,156874906,156875008
12,156875520,156875666
13,156876080,156876210
14,156876400,156876572
15,156879122,156879362
16,156879999,156880157
17,156881457,156881850
>PBX1_ENST00000420696.7,chr1:164559184-164851831
1,164559184,164560013
2,164563238,164563311
3,164792494,164792738
4,164799699,164799889
5,164807542,164807677
6,164811990,164812149
7,164820072,164820184
8,164821537,164821626
9,164846584,164851831
>ACBD6_ENST00000367595.4,chr1:180288230-180502577
1,180502045,180502577
2,180495461,180495525
3,180492269,180492365
4,180430180,180430262
5,180413366,180413471
6,180397516,180397605
7,180314692,180314722
8,180288230,180288517
>TPR_ENST00000367478.9,chr1:186311652-186375253
1,186374878,186375253
2,186373359,186373463
3,186370970,186371043
4,186367886,186367982
5,186363342,186363445
6,186362837,186363001
7,186362288,186362380
8,186361789,186361869
9,186361622,186361709
10,186360765,186360905
11,186360273,186360364
12,186359799,186359996
13,186358543,186358650
14,186357397,186357623
15,186356286,186356449
16,186355635,186355768
17,186355410,186355558
18,186353688,186353850
19,186351976,186352110
20,186351330,186351470
21,186350223,186350388
22,186347292,186347458
23,186346135,186346287
24,186345580,186345696
25,186344375,186344578
26,186343906,186344090
27,186343326,186343473
28,186341252,186341389
29,186341028,186341159
30,186339642,186339772
31,186338033,186338243
32,186337013,186337156
33,186336496,186336694
34,186335338,186335543
35,186335068,186335129
36,186334325,186334533
37,186333122,186333394
38,186332195,186332343
39,186331498,186331581
40,186327460,186327660
41,186326104,186326235
42,186325764,186325854
43,186323686,186323870
44,186322518,186322586
45,186322318,186322412
46,186320312,186320418
47,186318733,186318828
48,186318447,186318603
49,186317482,186317600
50,186314629,186314724
51,186311652,186314026
>ELK4_ENST00000357992.9,chr1:205607943-205632011
1,205631632,205632011
2,205623676,205623891
3,205619966,205620838
4,205618957,205619073
5,205607943,205616644
>SLC45A3_ENST00000367145.4,chr1:205657851-205680509
1,205680394,205680509
2,205664485,205664886
3,205662833,205663618
4,205661861,205662126
5,205657851,205659671
>RRP15_ENST00000366932.4,chr1:218285293-218337983
1,218285293,218285455
2,218302294,218302559
3,218305028,218305125
4,218307431,218307632
5,218330948,218337983
>IRF2BP2_ENST00000366609.4,chr1:234604269-234610178
1,234608447,234610178
2,234604269,234607852
>MBOAT2_ENST00000305997.8,chr2:8852690-9003684
1,9003540,9003684
2,8958497,8958642
3,8943187,8943264
4,8908621,8908716
5,8888018,8888073
6,8882511,8882565
7,8877030,8877213
8,8873108,8873300
9,8868446,8868549
10,8864170,8864234
11,8862590,8862722
12,8860613,8860764
13,8852690,8858904
>WDCP_ENST00000295148.9,chr2:24029347-24047391
1,24047314,24047391
2,24037677,24039512
3,24032829,24032946
4,24029347,24031162
>NCOA1_ENST00000348332.8,chr2:24491254-24770702
1,24491254,24491602
2,24564295,24564430
3,24584476,24584560
4,24643966,24644122
5,24658661,24658766
6,24665749,24665915
7,24673366,24673463
8,24682951,24683128
9,24691481,24691660
10,24693252,24693347
11,24697658,24697798
12,24705086,24705233
13,24706568,24707888
14,24710931,24711111
15,24726589,24726706
16,24728308,24728476
17,24729501,24729815
18,24739432,24739533
19,24741784,24742186
20,24751982,24752156
21,24757973,24758156
22,24762687,24762776
23,24768221,24770702
>ALK_ENST00000389048.8,chr2:29192774-29921586
1,29919993,29921586
2,29717578,29717697
3,29694850,29695014
4,29531915,29532116
5,29383732,29383859
6,29328350,29328481
7,29320751,29320882
8,29318304,29318404
9,29296888,29297057
10,29275402,29275496
11,29275099,29275227
12,29251105,29251267
13,29239680,29239830
14,29233565,29233696
15,29232304,29232448
16,29228884,29229066
17,29227574,29227672
18,29226922,29227074
19,29225461,29225565
20,29223342,29223528
21,29222517,29222607
22,29222344,29222408
23,29220706,29220835
24,29213984,29214081
25,29209786,29209878
26,29207171,29207272
27,29197542,29197676
28,29196770,29196860
29,29192774,29193922
>STRN_ENST00000263918.9,chr2:36837698-36966536
1,36966230,36966536
2,36925105,36925208
3,36916078,36916151
4,36905540,36905618
5,36902584,36902751
6,36899523,36899658
7,36893898,36894033
8,36886716,36886826
9,36883932,36884075
10,36877891,36878027
11,36869554,36869729
12,36867814,36867861
13,36861132,36861253
14,36857856,36858023
15,36855212,36855352
16,36851000,36851107
17,36849714,36849800
18,36837698,36849625
>EML4_ENST00000318522.10,chr2:42169353-42332548
1,42169353,42169636
2,42245505,42245687
3,42256501,42256630
4,42261121,42261294
5,42263178,42263306
6,42264706,42264731
7,42280850,42280973
8,42282823,42282972
9,42284634,42284703
10,42286269,42286379
11,42288227,42288322
12,42295125,42295259
13,42295381,42295516
14,42301241,42301392
15,42303104,42303229
16,42303315,42303446
17,42304484,42304551
18,42315962,42316050
19,42317427,42317524
20,42325467,42325554
21,42326154,42326252
22,42328886,42329016
23,42329734,42332548
>PRKCE_ENST00000306156.8,chr2:45651675-46187990
1,45651675,45652448
2,45843000,45843063
3,45976429,45976588
4,45978976,45979010
5,45980296,45980381
6,45984551,45984680
7,46001404,46001546
8,46004542,46004638
9,46007462,46007661
10,46010344,46010517
11,46086208,46086362
12,46145093,46145231
13,46151041,46151229
14,46159606,46159752
15,46184735,46187990
>DCTN1_ENST00000628224.3,chr2:74361155-74380311
1,74380005,74380311
2,74378000,74378245
3,74377648,74377726
4,74377432,74377466
5,74376742,74376762
6,74374323,74374340
7,74372928,74372948
8,74371537,74371728
9,74370979,74371176
10,74370621,74370825
11,74370466,74370544
12,74370186,74370345
13,74369965,74370069
14,74369300,74369491
15,74369098,74369214
16,74368728,74368880
17,74367971,74368131
18,74367696,74367864
19,74367352,74367420
20,74367045,74367107
21,74366783,74366932
22,74366459,74366620
23,74366244,74366375
24,74365893,74366018
25,74365515,74365657
26,74365075,74365241
27,74363614,74363628
28,74363294,74363427
29,74362994,74363177
30,74362650,74362729
31,74362052,74362141
32,74361155,74361636
>AFF3_ENST00000672756.2,chr2:99545419-100142590
1,100142484,100142590
2,100129224,100129306
3,100105504,100105583
4,100104402,100104518
5,100008812,100008932
6,100007148,100007460
7,100006632,100007017
8,99837477,99837524
9,99752221,99752301
10,99744104,99744140
11,99727077,99727128
12,99672538,99672589
13,99649626,99649666
14,99601435,99601621
15,99593195,99594289
16,99587154,99587278
17,99582798,99582999
18,99578327,99578451
19,99568852,99568915
20,99565487,99565623
21,99560365,99560436
22,99558875,99558968
23,99554683,99554732
24,99554311,99554534
25,99545419,99551595
>RANBP2_ENST00000283195.11,chr2:108719482-108785809
1,108719482,108719678
2,108729132,108729199
3,108730774,108730885
4,108731322,108731474
5,108735532,108735762
6,108736104,108736249
7,108740489,108740681
8,108746711,108746798
9,108748920,108749129
10,108751264,108751445
11,108751528,108751703
12,108751871,108751994
13,108752998,108753159
14,108753426,108753563
15,108753825,108753971
16,108754905,108755084
17,108755176,108755259
18,108758413,108758548
19,108762101,108762195
20,108763237,108768388
21,108771701,108771871
22,108772489,108772581
23,108772868,108773046
24,108775732,108775936
25,108777130,108777231
26,108781269,108781429
27,108782128,108782401
28,108782528,108782862
29,108783596,108785809
>PAX8_ENST00000429538.8,chr2:113215997-113278921
1,113278831,113278921
2,113278370,113278469
3,113246754,113246919
4,113244427,113244624
5,113242690,113242778
6,113242008,113242130
7,113241551,113241726
8,113236601,113236721
9,113235394,113235582
10,113227155,113227256
11,113220092,113220178
12,113215997,113218609
>PLA2R1_ENST00000283243.13,chr2:159932006-160062615
1,160062295,160062615
2,160044774,160045157
3,160042025,160042198
4,160032959,160033132
5,160028850,160028963
6,160028218,160028361
7,160022665,160022859
8,160020106,160020263
9,160016614,160016712
10,160013263,160013375
11,160005652,160005821
12,159987156,159987358
13,159983928,159984073
14,159979830,159979914
15,159977284,159977416
16,159976685,159976720
17,159976068,159976225
18,159970148,159970212
19,159969256,159969359
20,159967539,159967678
21,159956510,159956627
22,159955698,159955828
23,159955199,159955346
24,159951340,159951578
25,159949608,159949776
26,159947419,159947559
27,159946801,159946917
28,159944906,159945082
29,159942127,159942159
30,159932006,159941992
>RBMS1_ENST00000348849.8,chr2:160272151-160493807
1,160493289,160493807
2,160367216,160367391
3,160318169,160318227
4,160313156,160313247
5,160303330,160303487
6,160300651,160300730
7,160286969,160287084
8,160284995,160285044
9,160284775,160284868
10,160281314,160281364
11,160278548,160278658
12,160277303,160277383
13,160275630,160275714
14,160272151,160274764
>SP3_ENST00000310015.12,chr2:173900775-173965373
1,173965165,173965373
2,173964405,173964553
3,173963761,173963883
4,173954873,173956232
5,173918593,173918785
6,173913070,173913266
7,173900775,173910257
>ABI2_ENST00000261018.12,chr2:203328394-203432169
1,203328394,203328631
2,203366877,203367044
3,203380208,203380384
4,203382189,203382206
5,203391046,203391143
6,203394700,203394846
7,203395656,203395780
8,203396785,203396967
9,203402576,203402734
10,203411285,203411371
11,203416908,203417081
12,203427177,203432169
>CREB1_ENST00000353267.8,chr2:207529962-207605988
1,207529962,207530134
2,207555628,207555749
3,207560226,207560372
4,207567463,207567563
5,207570179,207570321
6,207575272,207575454
7,207577505,207577655
8,207596914,207605988
>ERBB4_ENST00000342788.9,chr2:211375717-212538802
1,212538449,212538802
2,212124752,212124903
3,211947430,211947616
4,211788025,211788159
5,211750639,211750704
6,211725076,211725194
7,211722393,211722534
8,211713535,211713648
9,211712050,211712176
10,211705318,211705391
11,211704104,211704194
12,211701967,211702166
13,211679052,211679184
14,211673164,211673257
15,211665323,211665477
16,211657754,211657828
17,211630462,211630594
18,211623922,211624044
19,211619177,211619275
20,211561903,211562088
21,211430945,211431100
22,211428408,211428483
23,211424155,211424301
24,211422007,211422104
25,211420441,211420611
26,211387945,211387992
27,211386853,211387150
28,211375717,211384060
>ATIC_ENST00000236959.14,chr2:215312059-215349764
1,215312059,215312161
2,215312498,215312624
3,215318157,215318233
4,215319665,215319731
5,215325241,215325329
6,215325987,215326138
7,215326822,215326978
8,215332382,215332507
9,215333350,215333457
10,215334919,215335004
11,215336035,215336124
12,215338779,215338907
13,215344779,215344871
14,215346759,215346941
15,215349094,215349249
16,215349536,215349764
>FN1_ENST00000354785.11,chr2:215360865-215436068
1,215435655,215436068
2,215434696,215434824
3,215433324,215433461
4,215431833,215431964
5,215430715,215430852
6,215428180,215428338
7,215425094,215425285
8,215424146,215424325
9,215423350,215423526
10,215422091,215422243
11,215420673,215420801
12,215419242,215419385
13,215414837,215414958
14,215409934,215410114
15,215409563,215409739
16,215408298,215408426
17,215408108,215408197
18,215407127,215407321
19,215406238,215406510
20,215404389,215404655
21,215399257,215399351
22,215397680,215397848
23,215397137,215397223
24,215394528,215394719
25,215392931,215393203
26,215391632,215391814
27,215388212,215388301
28,215386689,215386958
29,215384860,215384976
30,215384020,215384184
31,215383328,215383483
32,215382212,215382325
33,215380811,215381080
34,215379130,215379317
35,215378175,215378262
36,215376498,215376674
37,215375629,215375718
38,215375214,215375393
39,215373322,215373411
40,215371909,215372375
41,215370294,215370432
42,215367863,215368027
43,215365505,215365630
44,215364879,215364985
45,215361969,215362079
46,215360865,215361626
>FEV_ENST00000295727.2,chr2:218981087-218985184
1,218985024,218985184
2,218984231,218984305
3,218981087,218982256
>PAX3_ENST00000392070.7,chr2:222199887-222298998
1,222298531,222298998
2,222296978,222297213
3,222295528,222295657
4,222294167,222294301
5,222232078,222232283
6,222221222,222221387
7,222220140,222220354
8,222201944,222202190
9,222199887,222201442
>ACSL3_ENST00000357430.8,chr2:222861036-222944639
1,222861036,222861258
2,222887830,222887888
3,222900674,222900780
4,222908733,222909150
5,222916319,222916496
6,222918046,222918155
7,222919064,222919202
8,222921280,222921430
9,222922708,222922831
10,222923078,222923149
11,222924456,222924595
12,222927017,222927189
13,222928862,222928936
14,222930621,222930812
15,222933166,222933280
16,222934530,222934687
17,222941497,222944639
>SEPTIN2_ENST00000391971.7,chr2:241315925-241354027
1,241315925,241315982
2,241324216,241324241
3,241325993,241326113
4,241335126,241335212
5,241335975,241336098
6,241337382,241337516
7,241337673,241337790
8,241342992,241343093
9,241343752,241343897
10,241346166,241346249
11,241348134,241348191
12,241350073,241350203
13,241351967,241354027
>SRGAP3_ENST00000383836.8,chr3:8980591-9249646
1,9248885,9249646
2,9124725,9124917
3,9104680,9104842
4,9080025,9080087
5,9064396,9064581
6,9060231,9060359
7,9058251,9058472
8,9056233,9056334
9,9053027,9053224
10,9047391,9047475
11,9038063,9038090
12,9032650,9032752
13,9026935,9026995
14,9025261,9025338
15,9015597,9015731
16,9013737,9013842
17,9013308,9013535
18,9010308,9010387
19,8994343,8994523
20,8992906,8993055
21,8990512,8990839
22,8980591,8985932
>PPARG_ENST00000651735.1,chr3:12289070-12434344
1,12289070,12289134
2,12312380,12312453
3,12379704,12379931
4,12381322,12381491
5,12392614,12392752
6,12405882,12406081
7,12416704,12417154
8,12433898,12434344
>RAF1_ENST00000442415.7,chr3:12583601-12664117
1,12663813,12664117
2,12618515,12618747
3,12611950,12612062
4,12609233,12609335
5,12608766,12608923
6,12606201,12606299
7,12604136,12604289
8,12603478,12603537
9,12600388,12600415
10,12600152,12600279
11,12599691,12599808
12,12591708,12591792
13,12590798,12590974
14,12587591,12587637
15,12585681,12585799
16,12585122,12585253
17,12584847,12584981
18,12583601,12584657
>HACL1_ENST00000321169.10,chr3:15560699-15601569
1,15601383,15601569
2,15601090,15601194
3,15596384,15596424
4,15591600,15591680
5,15589540,15589612
6,15586525,15586602
7,15585248,15585342
8,15582877,15582989
9,15579910,15580045
10,15574977,15575082
11,15573159,15573242
12,15571668,15571769
13,15568432,15568586
14,15567844,15568002
15,15564551,15564658
16,15563358,15563544
17,15560699,15560897
>DAZL_ENST00000399444.7,chr3:16586792-16605423
1,16605203,16605423
2,16598452,16598598
3,16598087,16598178
4,16597490,16597541
5,16596988,16597051
6,16596750,16596889
7,16595314,16595385
8,16594533,16594583
9,16593655,16593768
10,16592050,16592148
11,16586792,16588713
>CTNNB1_ENST00000349496.11,chr3:41199505-41240443
1,41199505,41199670
2,41224021,41224081
3,41224526,41224753
4,41224954,41225207
5,41225334,41225572
6,41225660,41225861
7,41227208,41227352
8,41233341,41233444
9,41233529,41233867
10,41234139,41234297
11,41235724,41235843
12,41236349,41236499
13,41236588,41236709
14,41238016,41238076
15,41239134,41240443
>SLC26A6_ENST00000395550.7,chr3:48625723-48635461
1,48635371,48635461
2,48633477,48633635
3,48633251,48633390
4,48632974,48633084
5,48632245,48632396
6,48631880,48632044
7,48631649,48631801
8,48631224,48631306
9,48630993,48631140
10,48630607,48630720
11,48630438,48630515
12,48630062,48630157
13,48629872,48629978
14,48629642,48629711
15,48628622,48628714
16,48628434,48628541
17,48627946,48628038
18,48626876,48627055
19,48626631,48626685
20,48626218,48626354
21,48625723,48626000
>NCKIPSD_ENST00000294129.7,chr3:48673844-48685915
1,48685637,48685915
2,48682903,48683012
3,48682348,48682552
4,48682045,48682156
5,48681287,48681780
6,48680059,48680229
7,48679801,48679887
8,48679575,48679713
9,48679377,48679457
10,48679055,48679183
11,48678877,48678969
12,48678564,48678736
13,48673844,48674747
>PRKAR2A_ENST00000265563.13,chr3:48746586-48847874
1,48847335,48847874
2,48807649,48807684
3,48793997,48794049
4,48790544,48790627
5,48782986,48783092
6,48772955,48773108
7,48765248,48765349
8,48765004,48765078
9,48756379,48756444
10,48752176,48752317
11,48746586,48751718
>FHIT_ENST00000492590.6,chr3:59747277-61251452
1,61251301,61251452
2,61200617,61200665
3,61042047,61042099
4,60821919,60822011
5,60536860,60536979
6,60014007,60014152
7,60011371,60011400
8,59922346,59922414
9,59752221,59752321
10,59747277,59749579
>TFG_ENST00000240851.9,chr3:100709494-100748964
1,100709494,100709721
2,100713643,100713869
3,100719975,100720058
4,100728712,100728858
5,100732508,100732672
6,100736576,100736716
7,100744833,100744931
8,100748149,100748964
>CIP2A_ENST00000295746.13,chr3:108549864-108589438
1,108589274,108589438
2,108585065,108585212
3,108582977,108583083
4,108582108,108582202
5,108581415,108581511
6,108579566,108579688
7,108579281,108579426
8,108576271,108576346
9,108569389,108569607
10,108568155,108568314
11,108566497,108566638
12,108565355,108565454
13,108563126,108563244
14,108560649,108560841
15,108559954,108560028
16,108559757,108559867
17,108557218,108557414
18,108554376,108554489
19,108553648,108553730
20,108552234,108552373
21,108549864,108551319
>EEFSEC_ENST00000254730.11,chr3:128153481-128408646
1,128153481,128153823
2,128246836,128247043
3,128262128,128262224
4,128264617,128264781
5,128341233,128341889
6,128358217,128358373
7,128408069,128408646
>CNBP_ENST00000422453.7,chr3:129167827-129183896
1,129183776,129183896
2,129171634,129171771
3,129171446,129171538
4,129171079,129171277
5,129167827,129170570
>PLXND1_ENST00000324093.9,chr3:129555214-129606676
1,129605329,129606676
2,129589351,129589527
3,129586588,129586719
4,129586172,129586272
5,129585952,129586081
6,129584385,129584562
7,129584125,129584233
8,129583567,129583669
9,129578329,129578433
10,129575766,129575855
11,129575469,129575562
12,129574336,129574490
13,129573594,129573745
14,129572842,129572941
15,129572609,129572748
16,129571677,129571844
17,129571509,129571599
18,129571040,129571303
19,129570786,129570935
20,129569843,129569957
21,129567698,129567805
22,129567492,129567604
23,129566527,129566631
24,129565887,129566017
25,129565340,129565538
26,129563094,129563240
27,129562787,129562943
28,129561800,129561903
29,129561646,129561709
30,129560689,129560723
31,129560330,129560434
32,129559620,129559783
33,129558428,129558575
34,129557083,129557223
35,129556617,129556691
36,129555214,129556428
>TMCC1_ENST00000393238.8,chr3:129647792-129893711
1,129893494,129893711
2,129880309,129880559
3,129832774,129832826
4,129827803,129828508
5,129670330,129671264
6,129654968,129655103
7,129647792,129651795
>GMPS_ENST00000496455.7,chr3:155870650-155944020
1,155870650,155870897
2,155893518,155893699
3,155897927,155898041
4,155903863,155903960
5,155906160,155906263
6,155910692,155910885
7,155911114,155911279
8,155914419,155914570
9,155916019,155916192
10,155919233,155919338
11,155922187,155922302
12,155925241,155925366
13,155931765,155931880
14,155934916,155935046
15,155936338,155936510
16,155937591,155944020
>TBL1XR1_ENST00000457928.7,chr3:177019344-177197482
1,177197121,177197482
2,177098466,177098541
3,177064920,177065022
4,177053773,177053918
5,177051504,177051726
6,177050478,177050610
7,177049997,177050138
8,177047486,177047549
9,177047300,177047397
10,177046129,177046189
11,177038313,177038434
12,177038098,177038172
13,177034198,177034325
14,177032971,177033136
15,177026373,177026474
16,177019344,177025524
>ETV5_ENST00000306376.10,chr3:186046314-186109089
1,186108940,186109089
2,186105824,186105942
3,186105625,186105712
4,186105449,186105496
5,186105305,186105355
6,186081046,186081175
7,186079817,186080104
8,186065813,186066072
9,186064417,186064476
10,186057423,186057491
11,186057075,186057244
12,186052030,186052131
13,186046314,186048860
>LPP_ENST00000617246.5,chr3:188154157-188890671
1,188154157,188154252
2,188225405,188225527
3,188341663,188341719
4,188406112,188406313
5,188484592,188484704
6,188524665,188524787
7,188609161,188609844
8,188708267,188708393
9,188760113,188760282
10,188866200,188866378
11,188872643,188872763
12,188874351,188890671
>TP63_ENST00000264731.8,chr3:189631389-189897276
1,189631389,189631577
2,189737740,189737868
3,189738642,189738774
4,189808272,189808526
5,189864232,189864418
6,189866682,189866797
7,189867833,189867942
8,189868580,189868716
9,189869324,189869406
10,189872859,189872995
11,189886394,189886551
12,189889340,189889484
13,189890789,189890882
14,189894206,189897276
>TACC3_ENST00000313288.9,chr4:1721521-1745171
1,1721521,1721643
2,1723421,1723583
3,1723728,1723870
4,1727708,1728787
5,1730887,1730962
6,1731172,1731301
7,1735273,1735325
8,1735731,1735834
9,1737241,1737328
10,1737598,1737702
11,1739702,1739778
12,1739959,1740002
13,1740826,1740986
14,1744518,1744624
15,1744712,1744832
16,1744948,1745171
>FGFR3_ENST00000440486.8,chr4:1793293-1808867
1,1793293,1793465
2,1793833,1794043
3,1799254,1799523
4,1799747,1799812
5,1801367,1801536
6,1801620,1801743
7,1801835,1802025
8,1803692,1803836
9,1804330,1804520
10,1804824,1804969
11,1805355,1805476
12,1805559,1805669
13,1805750,1805940
14,1806051,1806173
15,1806257,1806327
16,1806546,1806683
17,1806829,1806934
